Ticker,Company,Sector,Region,Manual_Rating,Default_Event,ReportDate,Year,TotalAssets,TotalLiabilities,TotalEquity,TotalDebt,Cash,Revenue,EBITDA,EBIT,NetIncome,InterestExpense,OperatingCashFlow,MarketCap,SharePrice,Return_1Y,Volatility_1Y
IBM,IBM,Technology,US,A-,0,2020-12-31,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.64663696289062,-0.033666409820244936,0.4099583241899768
IBM,IBM,Technology,US,A-,0,2021-12-31,2021,132001000000.0,113005000000.0,18901000000.0,55139000000.0,6650000000.0,57351000000.0,12409000000.0,5992000000.0,5742000000.0,1155000000.0,12796000000.0,257126846345.80923,114.3508758544922,0.1687105054676341,0.22914390738167797
IBM,IBM,Technology,US,A-,0,2022-12-31,2022,127243000000.0,105222000000.0,21944000000.0,54013000000.0,7886000000.0,60530000000.0,7174000000.0,2372000000.0,1640000000.0,1216000000.0,10435000000.0,285024537336.50726,126.27814483642578,0.10636980192930401,0.238621743959401
IBM,IBM,Technology,US,A-,0,2023-12-31,2023,135241000000.0,112628000000.0,22533000000.0,59935000000.0,13068000000.0,61860000000.0,14693000000.0,10297000000.0,7502000000.0,1607000000.0,13931000000.0,348805942392.5928,153.86837768554688,0.2128062995239779,0.15804117003414003
IBM,IBM,Technology,US,A-,0,2024-12-31,2024,137175000000.0,109782000000.0,27307000000.0,58396000000.0,13947000000.0,62753000000.0,12176000000.0,7509000000.0,6023000000.0,1712000000.0,13445000000.0,489342552739.0909,214.7026214599609,0.41307771281627215,0.23446535156786252
ADBE,Adobe,Technology,US,A+,0,2021-11-30,2021,27241000000.0,12444000000.0,14797000000.0,4673000000.0,3844000000.0,15785000000.0,6606000000.0,5818000000.0,4822000000.0,113000000.0,7230000000.0,413181484130.8594,687.489990234375,0.43685077116727644,0.2432400703691074
ADBE,Adobe,Technology,US,A+,0,2022-11-30,2022,27165000000.0,13114000000.0,14051000000.0,4633000000.0,4236000000.0,17606000000.0,6976000000.0,6120000000.0,4756000000.0,112000000.0,7838000000.0,196394779266.35742,326.7799987792969,-0.5121594227223002,0.46991572557289796
ADBE,Adobe,Technology,US,A+,0,2023-11-30,2023,29779000000.0,13261000000.0,16518000000.0,4080000000.0,7141000000.0,19409000000.0,7784000000.0,6912000000.0,5428000000.0,113000000.0,7302000000.0,371051398803.71094,617.3900146484375,0.7898994803526884,0.3181358256831973
ADBE,Adobe,Technology,US,A+,0,2024-11-30,2024,30230000000.0,16125000000.0,14105000000.0,6056000000.0,7613000000.0,21505000000.0,7957000000.0,7100000000.0,5560000000.0,169000000.0,8056000000.0,310073925598.14453,515.9299926757812,-0.15762401855639452,0.3444410412802141
CRM,Salesforce,Technology,US,A+,0,2021-01-31,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.2120056152344,0.21648156910618455,0.5307114284760801
CRM,Salesforce,Technology,US,A+,0,2022-01-31,2022,95209000000.0,37078000000.0,58131000000.0,13985000000.0,5464000000.0,26492000000.0,3846000000.0,548000000.0,1444000000.0,0.0,6000000000.0,217399723602.2949,219.81771850585935,-0.027707222043967583,0.3020561671478747
CRM,Salesforce,Technology,US,A+,0,2023-01-31,2023,98849000000.0,40490000000.0,58359000000.0,14088000000.0,7016000000.0,31352000000.0,5644000000.0,1858000000.0,208000000.0,0.0,7111000000.0,164502318695.06836,163.03500366210938,-0.291793915253452,0.4688879667415168
CRM,Salesforce,Technology,US,A+,0,2024-01-31,2024,99823000000.0,40177000000.0,59646000000.0,12588000000.0,8472000000.0,34857000000.0,9958000000.0,5999000000.0,4136000000.0,0.0,10234000000.0,294700583496.09375,284.73486328125,0.7129844394263622,0.28383848099387293
CRM,Salesforce,Technology,US,A+,0,2025-01-31,2025,102928000000.0,41755000000.0,61173000000.0,11392000000.0,8848000000.0,37895000000.0,11143000000.0,7666000000.0,6197000000.0,0.0,13092000000.0,352810412109.375,334.10076904296875,0.18962380061705453,0.36849749065508314
AMD,AMD,Technology,US,A-,0,2020-12-31,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.29000091552734,0.8796334782814752,0.6097001057214735
AMD,AMD,Technology,US,A-,0,2021-12-31,2021,12419000000.0,4922000000.0,7497000000.0,661000000.0,2535000000.0,16434000000.0,4166000000.0,3703000000.0,3162000000.0,34000000.0,3521000000.0,178824792480.46875,145.14999389648438,0.582706306242452,0.42600373326818985
AMD,AMD,Technology,US,A-,0,2022-12-31,2022,67580000000.0,12830000000.0,54750000000.0,2863000000.0,4835000000.0,23601000000.0,5534000000.0,1272000000.0,1320000000.0,88000000.0,3565000000.0,106546644477.84424,64.7699966430664,-0.5498957651821776,0.6110929839810626
AMD,AMD,Technology,US,A-,0,2023-12-31,2023,67885000000.0,11993000000.0,55892000000.0,3003000000.0,3933000000.0,22680000000.0,4149000000.0,598000000.0,854000000.0,106000000.0,1667000000.0,245142836090.0879,147.41000366210938,1.3025618774079457,0.46939613966188526
AMD,AMD,Technology,US,A-,0,2024-12-31,2024,69226000000.0,11658000000.0,57568000000.0,2212000000.0,3787000000.0,25785000000.0,5258000000.0,2081000000.0,1641000000.0,92000000.0,3041000000.0,205699204101.56247,122.44000244140624,-0.11646701671518955,0.476754991515234
QCOM,Qualcomm,Technology,US,A,0,2021-09-30,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.77438354492188,0.11941782155012803,0.34143151895395923
QCOM,Qualcomm,Technology,US,A,0,2022-09-30,2022,49014000000.0,31001000000.0,18013000000.0,15482000000.0,2773000000.0,44200000000.0,17250000000.0,15488000000.0,12936000000.0,490000000.0,9096000000.0,119502002204.895,106.60303497314452,-0.09274837511606326,0.4546486233139928
QCOM,Qualcomm,Technology,US,A,0,2023-09-30,2023,51040000000.0,29459000000.0,21581000000.0,15398000000.0,8450000000.0,35820000000.0,9946000000.0,8137000000.0,7232000000.0,694000000.0,11299000000.0,117921819305.4199,105.85441589355467,0.009325084073140921,0.3773475981822853
QCOM,Qualcomm,Technology,US,A,0,2024-09-30,2024,55154000000.0,28880000000.0,26274000000.0,14634000000.0,7849000000.0,38962000000.0,12739000000.0,11033000000.0,10142000000.0,697000000.0,12202000000.0,184245010528.56445,165.53909301757812,0.5632743633491786,0.36878141855621743
QCOM,Qualcomm,Technology,US,A,0,2025-09-30,2025,50143000000.0,28937000000.0,21206000000.0,14811000000.0,5520000000.0,44284000000.0,14929000000.0,13327000000.0,5541000000.0,664000000.0,14012000000.0,162383978668.2129,151.1955108642578,-0.08621813463522954,0.3261078455863198
WMT,Walmart,Retail,US,AA,0,2021-01-31,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.84264755249024,0.24998050488911305,0.3186149016028189
WMT,Walmart,Retail,US,AA,0,2022-01-31,2022,244860000000.0,152969000000.0,83253000000.0,57323000000.0,14760000000.0,572754000000.0,31348000000.0,20690000000.0,13673000000.0,1994000000.0,24181000000.0,361124442260.7422,43.5982666015625,0.0031371998987823613,0.16705766401262692
WMT,Walmart,Retail,US,AA,0,2023-01-31,2023,243197000000.0,159206000000.0,76693000000.0,58923000000.0,8625000000.0,611289000000.0,30089000000.0,19144000000.0,11680000000.0,2128000000.0,28841000000.0,370773680877.68555,45.77452850341797,0.03271941435572079,0.26727872640381467
WMT,Walmart,Retail,US,AA,0,2024-01-31,2024,252399000000.0,161828000000.0,83861000000.0,61321000000.0,9867000000.0,648125000000.0,36384000000.0,24531000000.0,15511000000.0,2683000000.0,35726000000.0,436010588745.84735,54.13590621948242,0.16852528079710738,0.151991752004794
WMT,Walmart,Retail,US,AA,0,2025-01-31,2025,260823000000.0,163131000000.0,91013000000.0,60114000000.0,9037000000.0,680985000000.0,42010000000.0,29037000000.0,19436000000.0,2728000000.0,36443000000.0,721310719055.1758,89.89415740966797,0.6336922871290205,0.18106188211409752
TGT,Target,Retail,US,A,0,2021-01-31,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.68695068359375,0.6428138067506697,0.3778931522173579
TGT,Target,Retail,US,A,0,2022-01-31,2022,53811000000.0,40984000000.0,12827000000.0,16467000000.0,5911000000.0,106005000000.0,11970000000.0,9328000000.0,6946000000.0,421000000.0,8625000000.0,90511682018.69621,192.0574188232422,0.20204263708625048,0.2262141910497302
